parcel_id,source,country,area_ha,lon,lat,items,acquisitions,duplicates,duplicate_pct,no_uri,baseline_pairs,cloud_gap_max,cloud_gap_mean,cloud_gap_ratio_max,sensing_gap_ms_min,error
co-magdalena-demo,cielociego,colombia,255.4132,-74.18,10.75,148,146,2,1.3513513513513513,0,2,14.524491,8.063697,4.192607759522135,0.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,13.455473031,48.42936598499999,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,13.459041805164182,48.429540652029864,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-002,fields-of-the-world,austria,0.3556,13.385017050810813,48.31715402027026,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-003,fields-of-the-world,austria,0.5117,13.383760122126752,48.31920317167606,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-004,fields-of-the-world,austria,0.6679,13.383768585237405,48.318558136769774,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-005,fields-of-the-world,austria,0.8216,13.49576793099419,48.28504986503558,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-006,fields-of-the-world,austria,1.1202,13.49604534102985,48.282005294036004,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-007,fields-of-the-world,austria,1.3041,13.498613963999999,48.279547310176476,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-008,fields-of-the-world,austria,1.7455,13.454919200250009,48.4193928735,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-009,fields-of-the-world,austria,2.0636,13.500586099000001,48.2822578113693,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-010,fields-of-the-world,austria,2.4644,13.45808029519261,48.42683743563032,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-011,fields-of-the-world,austria,3.4956,13.389873245202079,48.316124972579466,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-012,fields-of-the-world,austria,5.5912,13.46065241017924,48.42018561311319,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-013,fields-of-the-world,austria,6.1921,13.38964891408499,48.308512504871956,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-014,fields-of-the-world,austria,7.0016,13.384504939571045,48.31062740209958,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-015,fields-of-the-world,austria,7.0231,13.391609558388291,48.31155000002151,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-016,fields-of-the-world,austria,7.414,13.388281923867172,48.31702919076088,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-austria-017,fields-of-the-world,austria,9.0062,13.49848718595466,48.28419699922435,289,287,2,0.6920415224913494,0,2,0.137817,0.07618950000000031,285.7458677685951,0.0,
ftw-belgium-000,fields-of-the-world,belgium,0.2005,3.4712645720561786,51.10958409000596,306,301,5,1.6339869281045751,0,5,40.419727,12.835527399999998,2.2998710121757444,5844.0,
ftw-belgium-001,fields-of-the-world,belgium,0.3136,3.2154687782608704,51.02816636308695,301,301,0,0.0,0,0,,,,,
ftw-belgium-002,fields-of-the-world,belgium,0.415,3.296208366,50.866637184,301,301,0,0.0,0,0,,,,,
ftw-belgium-003,fields-of-the-world,belgium,0.51,3.3047487673199996,51.14236411283999,306,301,5,1.6339869281045751,0,5,40.419727,12.835527399999998,2.2998710121757444,5844.0,
ftw-belgium-004,fields-of-the-world,belgium,0.6277,3.248684765413045,50.98120068345652,301,301,0,0.0,0,0,,,,,
ftw-belgium-005,fields-of-the-world,belgium,0.8245,3.126884013000002,51.172050599999984,608,602,6,0.9868421052631579,0,6,21.681917,11.978473499999998,1.6706577274576002,6655.0,
ftw-belgium-006,fields-of-the-world,belgium,1.0075,3.2484602782686225,50.986889346169306,301,301,0,0.0,0,0,,,,,
ftw-belgium-007,fields-of-the-world,belgium,1.2168,3.102398861359552,50.89493189679775,602,602,0,0.0,0,0,,,,,
ftw-belgium-008,fields-of-the-world,belgium,1.5301,3.469764962876288,51.10621410523411,306,301,5,1.6339869281045751,0,5,40.419727,12.835527399999998,2.2998710121757444,5844.0,
ftw-belgium-009,fields-of-the-world,belgium,2.018,3.220833460439193,51.021222109966224,301,301,0,0.0,0,0,,,,,
ftw-belgium-010,fields-of-the-world,belgium,2.0745,3.21729924068675,51.02815726442172,301,301,0,0.0,0,0,,,,,
ftw-belgium-011,fields-of-the-world,belgium,2.4651,3.2409637315405906,50.98841136318819,301,301,0,0.0,0,0,,,,,
ftw-belgium-012,fields-of-the-world,belgium,3.1189,3.1099105181044564,50.904372479515736,602,602,0,0.0,0,0,,,,,
ftw-belgium-013,fields-of-the-world,belgium,5.1042,3.164804520101423,51.06008750547329,301,301,0,0.0,0,0,,,,,
ftw-belgium-014,fields-of-the-world,belgium,5.3747,3.0825738698275136,51.2212118824931,612,602,10,1.6339869281045751,0,10,40.419727,11.605878299999999,2.2998710121757444,5844.0,
ftw-belgium-015,fields-of-the-world,belgium,6.2452,3.2170259737336204,51.017920007639695,301,301,0,0.0,0,0,,,,,
ftw-belgium-016,fields-of-the-world,belgium,6.8385,3.0814372249758666,51.21779415415387,612,602,10,1.6339869281045751,0,10,40.419727,11.605878299999999,2.2998710121757444,5844.0,
ftw-belgium-017,fields-of-the-world,belgium,7.1193,3.2185366865103733,51.02355315797923,301,301,0,0.0,0,0,,,,,
ftw-brazil-000,fields-of-the-world,brazil,17.1382,-45.99058743256718,-12.115313631278225,146,146,0,0.0,0,0,,,,,
ftw-cambodia-000,fields-of-the-world,cambodia,0.2004,104.09186129447373,13.303541461736847,296,292,4,1.3513513513513513,0,4,27.491075000000002,10.456465999999999,1.7155497668307371,0.0,
ftw-cambodia-001,fields-of-the-world,cambodia,0.2687,105.70592132099998,11.825970155999999,146,145,1,0.684931506849315,0,1,14.839095,14.839095,1.4453412602509765,1.0,
ftw-cambodia-002,fields-of-the-world,cambodia,0.3637,105.76901773301944,12.204017621912627,146,145,1,0.684931506849315,0,1,14.839095,14.839095,1.4453412602509765,1.0,
ftw-cambodia-003,fields-of-the-world,cambodia,0.5014,105.77202872856341,12.203599647676057,146,145,1,0.684931506849315,0,1,14.839095,14.839095,1.4453412602509765,1.0,
ftw-cambodia-004,fields-of-the-world,cambodia,0.6015,102.92109243205262,13.19639505394737,147,146,1,0.6802721088435374,0,1,0.00019000000000346517,0.00019000000000346517,1.0000045095493624,0.0,
ftw-cambodia-005,fields-of-the-world,cambodia,0.8054,102.92616045939305,13.199759686650655,147,146,1,0.6802721088435374,0,1,0.00019000000000346517,0.00019000000000346517,1.0000045095493624,0.0,
ftw-cambodia-006,fields-of-the-world,cambodia,1.0024,102.92581732064207,13.197549154263156,147,146,1,0.6802721088435374,0,1,0.00019000000000346517,0.00019000000000346517,1.0000045095493624,0.0,
ftw-cambodia-007,fields-of-the-world,cambodia,1.075,105.706029429,11.817699893999999,146,145,1,0.684931506849315,0,1,14.839095,14.839095,1.4453412602509765,1.0,
