parcel_id,source,country,area_ha,lon,lat,items,acquisitions,duplicates,duplicate_pct,no_uri,baseline_pairs,cloud_gap_max,cloud_gap_mean,cloud_gap_ratio_max,sensing_gap_ms_min,error
ftw-austria-000,fields-of-the-world,austria,0.317,13.531987287000002,48.34234150199998,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,13.459041805164182,48.429540652029864,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-002,fields-of-the-world,austria,0.6603,13.527259560359997,48.3424632054,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-003,fields-of-the-world,austria,0.7756,13.528266085699698,48.34230351104955,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-004,fields-of-the-world,austria,1.0398,13.530328291849887,48.34065417474596,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-005,fields-of-the-world,austria,1.2487,13.522810558949999,48.34084781294999,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-006,fields-of-the-world,austria,1.5273,13.525602656603771,48.340142208849066,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-007,fields-of-the-world,austria,1.6691,13.521335717097841,48.33556686951797,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-008,fields-of-the-world,austria,1.9789,13.525399970606792,48.335768510155305,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-009,fields-of-the-world,austria,2.9275,13.457433185756756,48.42023462197295,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-010,fields-of-the-world,austria,3.0349,13.456280980322283,48.42845500858297,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
ftw-austria-011,fields-of-the-world,austria,3.5254,13.524330708171659,48.33765583786103,290,287,3,1.0344827586206897,0,3,0.137817,0.05102566666666683,285.7458677685951,0.0,
